energy_eV,sample_background_counts_fit,ob_background_counts_fit
0.061058839164,357.578503084,407.345948263
0.0612933811333,357.786309265,407.592907235
0.0615288240357,357.988745991,407.834614021
0.0617651713321,358.185794289,408.071041836
0.0620024264963,358.377437128,408.30216582
0.0622405930158,358.563659406,408.527963031
0.0624796743913,358.744447931,408.748412421
0.062719674137,358.919791404,408.963494831
0.0629605957805,359.089680404,409.173192966
0.0632024428631,359.254107368,409.377491387
0.0634452189397,359.413066575,409.576376487
0.0636889275786,359.566554125,409.769836485
0.0639335723622,359.714567924,409.957861397
0.0641791568864,359.857107665,410.140443032
0.0644256847609,359.994174804,410.317574965
0.0646731596095,360.125772548,410.489252524
0.0649215850696,360.25190583,410.655472773
0.0651709647928,360.372581292,410.816234492
0.0654213024446,360.487807263,410.971538162
0.0656726017047,360.597593741,411.121385943
0.0659248662669,360.70195237,411.265781659
0.0661780998392,360.800896421,411.404730776
0.0664323061436,360.89444077,411.538240388
0.0666874889168,360.982601878,411.666319192
0.0669436519095,361.065397769,411.788977475
0.0672007988871,361.142848008,411.906227088
0.0674589336293,361.214973678,412.018081432
0.0677180599304,361.281797362,412.124555435
0.067978181599,361.343343117,412.225665535
0.0682393024588,361.399636455,412.321429654
0.0685014263478,361.450704317,412.411867187
0.0687645571189,361.496575053,412.496998971
0.0690286986398,361.537278399,412.576847273
0.069293854793,361.572845454,412.651435767
0.069560029476,361.603308657,412.72078951
0.0698272266013,361.628701763,412.784934924
0.0700954500962,361.649059822,412.843899775
0.0703647039032,361.664419156,412.897713153
0.0706349919802,361.674817331,412.946405446
0.0709063182999,361.680293142,412.990008325
0.0711786868506,361.680886581,413.028554717
0.0714521016356,361.676638819,413.062078789
0.0717265666738,361.667592181,413.090615922
0.0720020859995,361.653790124,413.114202693
0.0722786636625,361.635277211,413.132876848
0.0725563037281,361.612099088,413.146677289
0.0728350102772,361.584302462,413.155644043
0.0731147874065,361.551935079,413.159818249
0.0733956392284,361.515045694,413.15924213
0.0736775698709,361.473684055,413.153958973
0.0739605834782,361.427900876,413.144013109
0.0742446842101,361.377747815,413.12944989
0.0745298762426,361.323277448,413.110315667
0.0748161637675,361.26454325,413.08665777
0.0751035509931,361.201599568,413.058524485
0.0753920421434,361.1345016,413.025965033
0.0756816414589,361.063305373,412.989029547
0.0759723531964,360.988067717,412.947769054
0.076264181629,360.908846244,412.902235449
0.0765571310461,360.825699326,412.85248148
0.0768512057538,360.738686073,412.798560718
0.0771464100744,360.647866305,412.740527545
0.0774427483473,360.55330054,412.678437126
0.0777402249281,360.455049961,412.612345393
0.0780388441893,360.3531764,412.542309019
0.0783386105204,360.247742317,412.468385402
0.0786395283274,360.138810775,412.390632642
0.0789416020335,360.026445419,412.30910952
0.0792448360787,359.910710456,412.223875479
0.0795492349202,359.791670634,412.134990603
0.0798548030323,359.669391219,412.042515595
0.0801615449064,359.543937976,411.946511762
0.0804694650513,359.415377148,411.847040989
0.0807785679929,359.283775434,411.744165724
0.0810888582747,359.149199973,411.637948954
0.0814003404576,359.011718317,411.528454192
0.0817130191198,358.871398421,411.415745449
0.0820268988575,358.728308611,411.299887224
0.0823419842841,358.582517578,411.180944478
0.0826582800312,358.434094346,411.05898262
0.0829757907477,358.283108266,410.934067483
0.0832945211007,358.129628985,410.806265314
0.0836144757752,357.973726436,410.675642746
0.0839356594739,357.815470818,410.542266787
0.084258076918,357.654932575,410.406204801
0.0845817328466,357.492182382,410.267524488
0.0849066320169,357.327291126,410.126293869
0.0852327792046,357.160329888,409.982581265
0.0855601792035,356.991369928,409.836455286
0.0858888368262,356.820482666,409.687984811
0.0862187569033,356.64773967,409.537238969
0.0865499442843,356.473212633,409.384287126
0.0868824038372,356.296973364,409.22919887
0.0872161404488,356.119093767,409.072043991
0.0875511590245,355.93964583,408.912892467
0.0878874644887,355.758701607,408.751814451
0.0882250617846,355.576333203,408.588880253
0.0885639558745,355.392612763,408.424160325
0.0889041517397,355.207612455,408.257725246
0.0892456543805,355.021404454,408.089645713
0.0895884688168,354.834060933,407.919992516
0.0899326000873,354.645654048,407.748836535
0.0902780532504,354.456255922,407.576248719
0.0906248333838,354.265938636,407.402300076
0.0909729455847,354.074774214,407.227061657
0.0913223949699,353.882834611,407.050604545
0.0916731866758,353.690191703,406.872999843
0.0920253258587,353.496917272,406.694318657
0.0923788176945,353.303082997,406.514632088
0.0927336673791,353.108760442,406.334011218
0.0930898801283,352.914021046,406.1525271
0.093447461178,352.718936109,405.970250743
0.0938064157842,352.523576785,405.787253103
0.094166749223,352.328014073,405.603605071
0.0945284667909,352.132318803,405.419377463
0.0948915738046,351.936561628,405.234641008
0.0952560756014,351.740813016,405.049466339
0.095621977539,351.545143241,404.86392398
0.0959892849956,351.349622373,404.678084342
0.0963580033701,351.154320269,404.492017706
0.0967281380824,350.959306566,404.305794218
0.0970996945728,350.764650674,404.119483878
0.0974726783027,350.570421765,403.933156532
0.0978470947546,350.376688768,403.746881865
0.0982229494319,350.183520363,403.560729386
0.0986002478592,349.99098497,403.374768429
0.0989789955822,349.799150746,403.189068135
0.099359198168,349.608085577,403.003697453
0.0997408612052,349.41785707,402.818725126
0.100123990304,349.228532552,402.634219687
0.100508591095,349.040179059,402.450249452
0.100894669232,348.852863333,402.266882511
0.10128223039,348.666651818,402.084186721
0.101671280265,348.481610652,401.902229703
0.102061824577,348.297805662,401.721078832
0.102453869064,348.115302365,401.540801233
0.102847419491,347.934165956,401.361463774
0.103242481641,347.754461309,401.183133062
0.103639061322,347.576252972,401.005875435
0.104037164363,347.399605161,400.82975696
0.104436796615,347.224581761,400.654843424
0.104837963953,347.051246318,400.481200332
0.105240672272,346.87966204,400.308892903
0.105644927493,346.709891789,400.137986064
0.106050735558,346.541998084,399.968544445
0.10645810243,346.376043097,399.800632377
0.106867034099,346.212088645,399.634313887
0.107277536575,346.050196199,399.469652693
0.107689615891,345.890426869,399.306712204
0.108103278104,345.732841414,399.145555515
0.108518529296,345.577500234,398.986245401
0.108935375569,345.424463369,398.828844321
0.109353823052,345.273790499,398.673414406
0.109773877893,345.125540944,398.520017464
0.110195546268,344.97977366,398.368714976
0.110618834375,344.836547242,398.21956809
0.111043748435,344.695919922,398.072637624
0.111470294694,344.557949566,397.927984059
0.111898479422,344.422693678,397.785667541
0.112328308912,344.290209397,397.645747881
0.112759789483,344.160553498,397.508284546
0.113192927476,344.033782394,397.373336665
0.113627729259,343.909952131,397.240963026
0.114064201222,343.789118397,397.111222072
0.114502349781,343.671336513,396.984171905
0.114942181375,343.556661441,396.85987028
0.115383702471,343.445147782,396.738374609
0.115826919557,343.336849777,396.619741958
0.116271839149,343.231821308,396.504029046
0.116718467787,343.130115901,396.391292247
0.117166812034,343.031786725,396.28158759
0.117616878481,342.936886595,396.174970756
0.118068673744,342.845467972,396.071497081
0.118522204463,342.757582967,395.971221554
0.118977477305,342.673283341,395.874198821
0.119434498962,342.592620507,395.780483182
0.119893276151,342.515645533,395.690128591
0.120353815615,342.442409144,395.603188661
